track_name,track_id,artist_name,artist_id,album_name,album_id,duration_ms,track_uri
California Love,6ayeqYtOtwVhqVB6k6MKoh,2Pac,1ZwdS5xdxEREPySFridCfh,California Love,1nGbXgS6toEOcFCDwEl5R3,347973,spotify:track:6ayeqYtOtwVhqVB6k6MKoh
When Ur Hero Falls,3vHohuAPZn6vTZ3sOx9S41,2Pac,1ZwdS5xdxEREPySFridCfh,The Rose - Volume 2 - Music Inspired By 2pac's Poetry,6v9sqDajYccFaVj8tQoc9V,210160,spotify:track:3vHohuAPZn6vTZ3sOx9S41
Live Medley,5TZjBBUSdm1RNe0F77Ji9i,2Pac,1ZwdS5xdxEREPySFridCfh,Live,5mcYsfptaqHS6aroUVVvcK,183186,spotify:track:5TZjBBUSdm1RNe0F77Ji9i
Troublesome,2rgvIPutcH1cZJJBJfNLPS,2Pac,1ZwdS5xdxEREPySFridCfh,Live,5mcYsfptaqHS6aroUVVvcK,184426,spotify:track:2rgvIPutcH1cZJJBJfNLPS
All About You,4IlP1844DkYpG6tHTHQ2vL,2Pac,1ZwdS5xdxEREPySFridCfh,Live,5mcYsfptaqHS6aroUVVvcK,222800,spotify:track:4IlP1844DkYpG6tHTHQ2vL
2 Of Amerikaz Most Wanted,4KgYp3x6ETCyb1KW4HpPgE,2Pac,1ZwdS5xdxEREPySFridCfh,Live,5mcYsfptaqHS6aroUVVvcK,366986,spotify:track:4KgYp3x6ETCyb1KW4HpPgE
California Love,7uSyL3YbMumcmHjAHSRxlU,2Pac,1ZwdS5xdxEREPySFridCfh,Live,5mcYsfptaqHS6aroUVVvcK,334093,spotify:track:7uSyL3YbMumcmHjAHSRxlU
Live Medley,7ahWK7JysrhO4v1PHynW32,2Pac,1ZwdS5xdxEREPySFridCfh,Live,11CEU884ZS6rWk4acSRG4u,183333,spotify:track:7ahWK7JysrhO4v1PHynW32
Troublesome,4roMIfUn6lfEI6VBx2Ufyn,2Pac,1ZwdS5xdxEREPySFridCfh,Live,11CEU884ZS6rWk4acSRG4u,184440,spotify:track:4roMIfUn6lfEI6VBx2Ufyn
All About You,4dJU2NmStVJatuTihJ1tOU,2Pac,1ZwdS5xdxEREPySFridCfh,Live,11CEU884ZS6rWk4acSRG4u,222800,spotify:track:4dJU2NmStVJatuTihJ1tOU
Never Call You Bitch Again,5PT9h5gh0NhfGq9A0fVfal,2Pac,1ZwdS5xdxEREPySFridCfh,Live,11CEU884ZS6rWk4acSRG4u,145973,spotify:track:5PT9h5gh0NhfGq9A0fVfal
How Do You Want It,59lL0jFYh4QGHeVtrJwupf,2Pac,1ZwdS5xdxEREPySFridCfh,Live,11CEU884ZS6rWk4acSRG4u,481960,spotify:track:59lL0jFYh4QGHeVtrJwupf
2 Of Amerikaz Most Wanted,2IbsAMhBXoDZOLH1uq6RaV,2Pac,1ZwdS5xdxEREPySFridCfh,Live,11CEU884ZS6rWk4acSRG4u,367000,spotify:track:2IbsAMhBXoDZOLH1uq6RaV
California Love,5WdNEGx0cNbmfNRIKySOGz,2Pac,1ZwdS5xdxEREPySFridCfh,Live,11CEU884ZS6rWk4acSRG4u,334106,spotify:track:5WdNEGx0cNbmfNRIKySOGz
"Siga Dando Bote, Balón",20KB7SINtSKnhYaWyDBVmD,31 Minutos,1EgVsKobLzbNgILxx9wrVG,Arwrarwrirwrarwro (Banda Sonora Original de la Cuarta Temporada),3lhrBqbQbfPx4aMfP0pbkK,55302,spotify:track:20KB7SINtSKnhYaWyDBVmD
Tema Central 31 Minutos - En Vivo,51t4PFCoMoRFAY2lnAUCfr,31 Minutos,1EgVsKobLzbNgILxx9wrVG,31 Minutos Gira Mundial (En Vivo),6m8Usxssnpra6Eo66kGARK,61386,spotify:track:51t4PFCoMoRFAY2lnAUCfr
Ratoncitos - En Vivo,3lp7uzTmvBZYA5QeUg4SxY,31 Minutos,1EgVsKobLzbNgILxx9wrVG,31 Minutos Gira Mundial (En Vivo),6m8Usxssnpra6Eo66kGARK,94026,spotify:track:3lp7uzTmvBZYA5QeUg4SxY
Diente Blanco - En Vivo,2bSpjlkgj1GgziqW0lJ6BB,31 Minutos,1EgVsKobLzbNgILxx9wrVG,31 Minutos Gira Mundial (En Vivo),6m8Usxssnpra6Eo66kGARK,116958,spotify:track:2bSpjlkgj1GgziqW0lJ6BB
Mi Muñeca Me Habló - En Vivo,4bgHPjdTqtSJUu0ijT1cgj,31 Minutos,1EgVsKobLzbNgILxx9wrVG,31 Minutos Gira Mundial (En Vivo),6m8Usxssnpra6Eo66kGARK,142186,spotify:track:4bgHPjdTqtSJUu0ijT1cgj
Parque de Diversiones - En Vivo,5Ow3uReZtixGYlMgtgF6VB,31 Minutos,1EgVsKobLzbNgILxx9wrVG,31 Minutos Gira Mundial (En Vivo),6m8Usxssnpra6Eo66kGARK,176221,spotify:track:5Ow3uReZtixGYlMgtgF6VB
Doggy Style - En Vivo,5pZRnRZAnwGfM9u2ViEVBu,31 Minutos,1EgVsKobLzbNgILxx9wrVG,31 Minutos Gira Mundial (En Vivo),6m8Usxssnpra6Eo66kGARK,156636,spotify:track:5pZRnRZAnwGfM9u2ViEVBu
Me Cortaron Mal el Pelo - En Vivo,2TgFUOyPrwXDkhink3cC9q,31 Minutos,1EgVsKobLzbNgILxx9wrVG,31 Minutos Gira Mundial (En Vivo),6m8Usxssnpra6Eo66kGARK,87729,spotify:track:2TgFUOyPrwXDkhink3cC9q
Nunca Me He Sacado un 7 - En Vivo,1mhnTPwDqqCF3IqpjmoJ5u,31 Minutos,1EgVsKobLzbNgILxx9wrVG,31 Minutos Gira Mundial (En Vivo),6m8Usxssnpra6Eo66kGARK,124331,spotify:track:1mhnTPwDqqCF3IqpjmoJ5u
Mr. Guantecillo - En Vivo,2WQIe5bpQriF2iQkMCiOpv,31 Minutos,1EgVsKobLzbNgILxx9wrVG,31 Minutos Gira Mundial (En Vivo),6m8Usxssnpra6Eo66kGARK,146606,spotify:track:2WQIe5bpQriF2iQkMCiOpv
Maguito Explosivo - En Vivo,5dHkHfGNBHY4Hv8df3Qh77,31 Minutos,1EgVsKobLzbNgILxx9wrVG,31 Minutos Gira Mundial (En Vivo),6m8Usxssnpra6Eo66kGARK,146768,spotify:track:5dHkHfGNBHY4Hv8df3Qh77
Rin Raja - En Vivo,0sb8IjX7Uge6OPx8wlxtv2,31 Minutos,1EgVsKobLzbNgILxx9wrVG,31 Minutos Gira Mundial (En Vivo),6m8Usxssnpra6Eo66kGARK,117477,spotify:track:0sb8IjX7Uge6OPx8wlxtv2
Señora Interesante - En Vivo,1xdroft50Q2nxnWvcUANWB,31 Minutos,1EgVsKobLzbNgILxx9wrVG,31 Minutos Gira Mundial (En Vivo),6m8Usxssnpra6Eo66kGARK,170165,spotify:track:1xdroft50Q2nxnWvcUANWB
"Señora, Devuélvame la Pelota - En Vivo",6JB23R70qctQH0h4FGGlEV,31 Minutos,1EgVsKobLzbNgILxx9wrVG,31 Minutos Gira Mundial (En Vivo),6m8Usxssnpra6Eo66kGARK,191905,spotify:track:6JB23R70qctQH0h4FGGlEV
Tangananica Tangananá - En Vivo,7akQ8GGMzymzgJ9x2SDwpN,31 Minutos,1EgVsKobLzbNgILxx9wrVG,31 Minutos Gira Mundial (En Vivo),6m8Usxssnpra6Eo66kGARK,120277,spotify:track:7akQ8GGMzymzgJ9x2SDwpN
Un Castillo de Blanca Arena Con Vista al Mar - En Vivo,23ZN0OUkb9O7V6y5278sYV,31 Minutos,1EgVsKobLzbNgILxx9wrVG,31 Minutos Gira Mundial (En Vivo),6m8Usxssnpra6Eo66kGARK,185651,spotify:track:23ZN0OUkb9O7V6y5278sYV
Regla Primordial - En Vivo,0VKzfdZgFap0cXdEL8dpcv,31 Minutos,1EgVsKobLzbNgILxx9wrVG,31 Minutos Gira Mundial (En Vivo),6m8Usxssnpra6Eo66kGARK,214263,spotify:track:0VKzfdZgFap0cXdEL8dpcv
Bailan Sin Cesar - En Vivo,5zwcQwQwd42g2MH5rEkBGR,31 Minutos,1EgVsKobLzbNgILxx9wrVG,31 Minutos Gira Mundial (En Vivo),6m8Usxssnpra6Eo66kGARK,127691,spotify:track:5zwcQwQwd42g2MH5rEkBGR
Yo Opino - En Vivo,5DYCujyiYMoc7mwTB5ZkKf,31 Minutos,1EgVsKobLzbNgILxx9wrVG,31 Minutos Gira Mundial (En Vivo),6m8Usxssnpra6Eo66kGARK,112484,spotify:track:5DYCujyiYMoc7mwTB5ZkKf
Mi Equilibrio Espiritual - En Vivo,0thDm1ZBV7f2NUX59dZZ1I,31 Minutos,1EgVsKobLzbNgILxx9wrVG,31 Minutos Gira Mundial (En Vivo),6m8Usxssnpra6Eo66kGARK,158516,spotify:track:0thDm1ZBV7f2NUX59dZZ1I
Yo Nuca Vi Televisión - En Vivo,0IhwawyMgaZpZa3ybw2tNY,31 Minutos,1EgVsKobLzbNgILxx9wrVG,31 Minutos Gira Mundial (En Vivo),6m8Usxssnpra6Eo66kGARK,247489,spotify:track:0IhwawyMgaZpZa3ybw2tNY
Dinosaurio Anacleto - En Vivo,1pxBz8Agkq0hOoKTSid1vh,31 Minutos,1EgVsKobLzbNgILxx9wrVG,31 Minutos Gira Mundial (En Vivo),6m8Usxssnpra6Eo66kGARK,192251,spotify:track:1pxBz8Agkq0hOoKTSid1vh
Patúbela,5XmSAiUUeKaqaXwKL7Ppt1,31 Minutos,1EgVsKobLzbNgILxx9wrVG,"31 Minutos, Ratoncitos",5eymzke6O0xLndwXwltN2E,42040,spotify:track:5XmSAiUUeKaqaXwKL7Ppt1
Doggy Style - Duque,4ByiGhIPaD2wR1hvQsH63M,31 Minutos,1EgVsKobLzbNgILxx9wrVG,31 Canciones de Amor y una Canción de Guaripolo,2auBApMDNDjfdG3bEj0las,104333,spotify:track:4ByiGhIPaD2wR1hvQsH63M
Dimensión Hermosa y Desconocida,4jqpKCq1xzdHHK4HUTzjHe,31 Minutos,1EgVsKobLzbNgILxx9wrVG,31 Canciones de Amor y una Canción de Guaripolo,2auBApMDNDjfdG3bEj0las,73093,spotify:track:4jqpKCq1xzdHHK4HUTzjHe
Dance,48nPRkqMKZXW6qxk1ZpGV2,50 Cent,3q7HBObVc0L8jNeTe5Gofh,Gon Pay Me?,5clBwxLLPewn1AuuYv6VoW,188493,spotify:track:48nPRkqMKZXW6qxk1ZpGV2
Dance,72DNodmXJgI9GiIWYTpPQM,50 Cent,3q7HBObVc0L8jNeTe5Gofh,Solid Gold Rhymes,1LGciRIo1ZelXMgUB56Oqr,188493,spotify:track:72DNodmXJgI9GiIWYTpPQM
Dance,3N21e0lgDWY4S0Yt6HR8yB,50 Cent,3q7HBObVc0L8jNeTe5Gofh,Thug Songs,7mbaQ9Lyh1B1YxkCufEOAd,188493,spotify:track:3N21e0lgDWY4S0Yt6HR8yB
I'm a Rider,1u5On4gL9q4HXbATNxw5IB,50 Cent,3q7HBObVc0L8jNeTe5Gofh,Bullet Proof,3AgCuejBHH780ROyGkKUvj,156413,spotify:track:1u5On4gL9q4HXbATNxw5IB
Why They Look Like That,0O5WYXKOigLIqhG39RaCI5,50 Cent,3q7HBObVc0L8jNeTe5Gofh,Bullet Proof,3AgCuejBHH780ROyGkKUvj,100346,spotify:track:0O5WYXKOigLIqhG39RaCI5
Hit You Up,0SKBnslMqZPZX8RIHKiDv5,50 Cent,3q7HBObVc0L8jNeTe5Gofh,Bullet Proof,3AgCuejBHH780ROyGkKUvj,202386,spotify:track:0SKBnslMqZPZX8RIHKiDv5
Balearic Balls,7y233zYcghdqCJdMYr8e2Q,Above & Beyond,10gzBoINW3cLJfZUka8Zoe,The Club Instrumentals,1vGoF6qHy2k3TO9Y5VYxTN,230631,spotify:track:7y233zYcghdqCJdMYr8e2Q
Distorted Truth,3P9jMi58NpLMo31MEx0poO,Above & Beyond,10gzBoINW3cLJfZUka8Zoe,The Club Instrumentals,1vGoF6qHy2k3TO9Y5VYxTN,253125,spotify:track:3P9jMi58NpLMo31MEx0poO
